feature,coef
intercept,37.333333333333336
fearful_vs_neutral__dacc,-0.0
fearful_vs_neutral__ldlpfc,-0.0
fearful_vs_neutral__lsts,-0.0
fearful_vs_neutral__lvlpfc,-0.0
fearful_vs_neutral__rdlpfc,-0.0
fearful_vs_neutral__rsts,-0.0
fearful_vs_neutral__rvlpfc,-0.0
fearful_vs_neutral__racc,-0.0
fearful_vs_neutral__lamyg,-0.0
fearful_vs_neutral__ramyg,0.0
fearful_vs_neutral__linsula,-0.0
fearful_vs_neutral__rinsula,-0.0
fearful_vs_neutral__rdacc,-0.0
fearful_vs_neutral__rracc,-0.0
fearful_vs_neutral__lracc,-0.0
fearful_vs_neutral__ldacc,-0.0
highload_fearful__dacc,0.0
highload_fearful__ldlpfc,-0.0
highload_fearful__lsts,-0.0
highload_fearful__lvlpfc,0.0
highload_fearful__rdlpfc,0.0
highload_fearful__rsts,0.0
highload_fearful__rvlpfc,0.0
highload_fearful__racc,0.0
highload_fearful__lamyg,-0.0
highload_fearful__ramyg,-0.0
highload_fearful__linsula,0.0
highload_fearful__rinsula,0.0
highload_fearful__rdacc,0.0
highload_fearful__rracc,0.0
highload_fearful__lracc,0.0
highload_fearful__ldacc,0.0
high_fearful_vs_low_fearful__dacc,-0.0
high_fearful_vs_low_fearful__ldlpfc,-0.0
high_fearful_vs_low_fearful__lsts,0.0
high_fearful_vs_low_fearful__lvlpfc,0.0
high_fearful_vs_low_fearful__rdlpfc,0.0
high_fearful_vs_low_fearful__rsts,0.0
high_fearful_vs_low_fearful__rvlpfc,0.0
high_fearful_vs_low_fearful__racc,-0.0
high_fearful_vs_low_fearful__lamyg,0.0
high_fearful_vs_low_fearful__ramyg,0.0
high_fearful_vs_low_fearful__linsula,0.0
high_fearful_vs_low_fearful__rinsula,0.0
high_fearful_vs_low_fearful__rdacc,0.0
high_fearful_vs_low_fearful__rracc,0.0
high_fearful_vs_low_fearful__lracc,0.0
high_fearful_vs_low_fearful__ldacc,-0.0
highload_neutral__dacc,0.0
highload_neutral__ldlpfc,-0.0
highload_neutral__lsts,-0.0
highload_neutral__lvlpfc,0.0
highload_neutral__rdlpfc,0.0
highload_neutral__rsts,0.0
highload_neutral__rvlpfc,0.0
highload_neutral__racc,0.0
highload_neutral__lamyg,0.0
highload_neutral__ramyg,-0.0
highload_neutral__linsula,0.0
highload_neutral__rinsula,0.0
highload_neutral__rdacc,0.0
highload_neutral__rracc,0.0
highload_neutral__lracc,0.0
highload_neutral__ldacc,0.0
high_neutral_vs_low_neutral__dacc,0.0
high_neutral_vs_low_neutral__ldlpfc,0.0
high_neutral_vs_low_neutral__lsts,0.0
high_neutral_vs_low_neutral__lvlpfc,0.0
high_neutral_vs_low_neutral__rdlpfc,0.0
high_neutral_vs_low_neutral__rsts,0.0
high_neutral_vs_low_neutral__rvlpfc,0.0
high_neutral_vs_low_neutral__racc,0.0
high_neutral_vs_low_neutral__lamyg,-0.0
high_neutral_vs_low_neutral__ramyg,-0.0
high_neutral_vs_low_neutral__linsula,0.0
high_neutral_vs_low_neutral__rinsula,0.0
high_neutral_vs_low_neutral__rdacc,0.0
high_neutral_vs_low_neutral__rracc,0.0
high_neutral_vs_low_neutral__lracc,0.0
high_neutral_vs_low_neutral__ldacc,0.0
high_vs_low_load__dacc,0.0
high_vs_low_load__ldlpfc,0.0
high_vs_low_load__lsts,0.0
high_vs_low_load__lvlpfc,0.0
high_vs_low_load__rdlpfc,0.0
high_vs_low_load__rsts,0.0
high_vs_low_load__rvlpfc,0.0
high_vs_low_load__racc,0.0
high_vs_low_load__lamyg,-0.0
high_vs_low_load__ramyg,-0.0
high_vs_low_load__linsula,0.0
high_vs_low_load__rinsula,0.0
high_vs_low_load__rdacc,0.0
high_vs_low_load__rracc,0.0
high_vs_low_load__lracc,0.0
high_vs_low_load__ldacc,0.0
lowload_fearful__dacc,0.0
lowload_fearful__ldlpfc,-0.0
lowload_fearful__lsts,-0.0
lowload_fearful__lvlpfc,0.0
lowload_fearful__rdlpfc,0.0
lowload_fearful__rsts,-0.0
lowload_fearful__rvlpfc,0.0
lowload_fearful__racc,0.0
lowload_fearful__lamyg,-0.0
lowload_fearful__ramyg,-0.0
lowload_fearful__linsula,0.0
lowload_fearful__rinsula,0.0
lowload_fearful__rdacc,0.0
lowload_fearful__rracc,0.0
lowload_fearful__lracc,0.0
lowload_fearful__ldacc,0.0
low_fearful_vs_low_neutral__dacc,0.0
low_fearful_vs_low_neutral__ldlpfc,-0.0
low_fearful_vs_low_neutral__lsts,0.0
low_fearful_vs_low_neutral__lvlpfc,-0.0
low_fearful_vs_low_neutral__rdlpfc,0.0
low_fearful_vs_low_neutral__rsts,0.0
low_fearful_vs_low_neutral__rvlpfc,-0.0
low_fearful_vs_low_neutral__racc,0.0
low_fearful_vs_low_neutral__lamyg,-0.0
low_fearful_vs_low_neutral__ramyg,-0.0
low_fearful_vs_low_neutral__linsula,-0.0
low_fearful_vs_low_neutral__rinsula,-0.0
low_fearful_vs_low_neutral__rdacc,0.0
low_fearful_vs_low_neutral__rracc,0.0
low_fearful_vs_low_neutral__lracc,0.0
low_fearful_vs_low_neutral__ldacc,-0.0
lowload_neutral__dacc,0.0
lowload_neutral__ldlpfc,-0.0
lowload_neutral__lsts,-0.0
lowload_neutral__lvlpfc,0.0
lowload_neutral__rdlpfc,0.0
lowload_neutral__rsts,-0.0
lowload_neutral__rvlpfc,0.0
lowload_neutral__racc,0.0
lowload_neutral__lamyg,0.0
lowload_neutral__ramyg,-0.0
lowload_neutral__linsula,0.0
lowload_neutral__rinsula,0.0
lowload_neutral__rdacc,0.0
lowload_neutral__rracc,0.0
lowload_neutral__lracc,0.0
lowload_neutral__ldacc,0.0
high_fearful_vs_high_neutral__dacc,-0.0
high_fearful_vs_high_neutral__ldlpfc,-0.0
high_fearful_vs_high_neutral__lsts,-0.0
high_fearful_vs_high_neutral__lvlpfc,-0.0
high_fearful_vs_high_neutral__rdlpfc,-0.0
high_fearful_vs_high_neutral__rsts,-0.0
high_fearful_vs_high_neutral__rvlpfc,-0.0
high_fearful_vs_high_neutral__racc,-0.0
high_fearful_vs_high_neutral__lamyg,-0.0
high_fearful_vs_high_neutral__ramyg,0.0
high_fearful_vs_high_neutral__linsula,-0.0
high_fearful_vs_high_neutral__rinsula,-0.0
high_fearful_vs_high_neutral__rdacc,-0.0
high_fearful_vs_high_neutral__rracc,-0.0
high_fearful_vs_high_neutral__lracc,-0.0
high_fearful_vs_high_neutral__ldacc,-0.0
