feature,importance
highload_fearful__ldlpfc,0.05387476234276432
highload_neutral__dacc,0.042416682099921915
lowload_fearful__ldacc,0.03821115183773389
lowload_fearful__linsula,0.03499454337818377
low_fearful_vs_low_neutral__rinsula,0.026078483797536838
lowload_fearful__rinsula,0.025355925127601653
high_fearful_vs_low_fearful__rvlpfc,0.021979261365074398
lowload_neutral__linsula,0.021636376917731206
lowload_neutral__rdlpfc,0.020613871718391987
highload_neutral__rdacc,0.0205373706919402
low_fearful_vs_low_neutral__rvlpfc,0.01974914143639008
lowload_fearful__dacc,0.018914957602068037
highload_neutral__rdlpfc,0.018426908750596615
high_vs_low_load__ldacc,0.018411732397989104
lowload_fearful__ldlpfc,0.01840047814490623
high_fearful_vs_high_neutral__ldacc,0.017663358454959723
lowload_fearful__rvlpfc,0.01750007686932011
lowload_neutral__racc,0.017163216991320614
low_fearful_vs_low_neutral__ldacc,0.017040404199808262
low_fearful_vs_low_neutral__racc,0.01703470649112441
high_fearful_vs_high_neutral__lvlpfc,0.01503606662267879
low_fearful_vs_low_neutral__rdlpfc,0.014634337924879606
high_vs_low_load__dacc,0.013187706190257595
highload_fearful__rdlpfc,0.012934942906836442
lowload_fearful__rdacc,0.012437550305520753
low_fearful_vs_low_neutral__lsts,0.012243600787761037
lowload_fearful__lsts,0.01109374292402643
high_vs_low_load__rdlpfc,0.010963027706481093
highload_neutral__ramyg,0.01022280890154176
high_fearful_vs_high_neutral__rracc,0.010028538972748014
highload_neutral__ldacc,0.009736867293832862
low_fearful_vs_low_neutral__ldlpfc,0.009485643400262261
lowload_neutral__lvlpfc,0.009402226205654262
high_fearful_vs_high_neutral__dacc,0.009304763598380764
high_fearful_vs_low_fearful__lsts,0.009205191300064013
high_neutral_vs_low_neutral__rracc,0.008592524050787087
fearful_vs_neutral__linsula,0.0077995348962319345
highload_fearful__lamyg,0.007757880496256757
high_fearful_vs_high_neutral__racc,0.007287115034663829
lowload_neutral__lsts,0.00692918153846519
high_neutral_vs_low_neutral__rdlpfc,0.006873018562434151
high_fearful_vs_high_neutral__lracc,0.006865882681655227
high_fearful_vs_high_neutral__lsts,0.006793430800857519
fearful_vs_neutral__rinsula,0.006675214338169207
highload_fearful__dacc,0.006455141216740836
highload_fearful__rvlpfc,0.0062525770776679845
fearful_vs_neutral__ramyg,0.00612417995813095
high_fearful_vs_low_fearful__rsts,0.006124045226798055
lowload_neutral__ldlpfc,0.005827056041583901
high_neutral_vs_low_neutral__racc,0.005709863067431723
highload_neutral__linsula,0.0057054096393790365
low_fearful_vs_low_neutral__linsula,0.0056982021627765235
high_vs_low_load__ramyg,0.005511673574349086
low_fearful_vs_low_neutral__rsts,0.0052606895845566
high_fearful_vs_high_neutral__ldlpfc,0.005044352043826317
highload_fearful__racc,0.005021424255977774
